iter	Logloss
0	0.6636699551
1	0.6342695362
2	0.6085290219
3	0.5867266038
4	0.5662149656
5	0.5481278718
6	0.5303082664
7	0.5139368335
8	0.4995832411
9	0.4857164489
10	0.473197663
11	0.4618527346
12	0.4517488728
13	0.4421944696
14	0.4347202729
15	0.4266034181
16	0.4192605005
17	0.411765474
18	0.4059303894
19	0.3994018247
20	0.3935984846
21	0.3882439026
22	0.3828988038
23	0.3784489288
24	0.3739497601
25	0.3699108713
26	0.3659483652
27	0.3622337266
28	0.3588011314
29	0.3553282691
30	0.352088699
31	0.3502918018
32	0.3478299869
33	0.3452770331
34	0.3422170794
35	0.3401457747
36	0.3378493171
37	0.3357872401
38	0.3342642074
39	0.3321145026
40	0.3309557351
41	0.3294409992
42	0.3279774657
43	0.3259943581
44	0.3243874707
45	0.3226605466
46	0.3219335722
47	0.3210291174
48	0.3198285607
49	0.3188795031
50	0.3180315464
51	0.3165061315
52	0.3156547799
53	0.314587567
54	0.3136704307
55	0.3129366554
56	0.3117737297
57	0.3110719843
58	0.309564389
59	0.3088428261
60	0.3080479947
61	0.307421529
62	0.3070147965
63	0.3060191225
64	0.3053436085
65	0.3040414533
66	0.3032768863
67	0.3026049395
68	0.30180108
69	0.3008095708
70	0.3002730787
71	0.2996769616
72	0.2990713829
73	0.2985315208
74	0.2978285575
75	0.2973408335
76	0.296758155
77	0.2961064958
78	0.2948551124
79	0.2944168366
80	0.2939756495
81	0.2936215387
82	0.2932469698
83	0.2924328971
84	0.2919296961
85	0.2909995774
86	0.2900527261
87	0.2897275211
88	0.289203066
89	0.2888600985
90	0.2883839354
91	0.2880289144
92	0.287592849
93	0.2871004048
94	0.2865308637
95	0.2859449298
96	0.2855167188
97	0.2849817487
98	0.2846423357
99	0.2841151112
100	0.283498188
101	0.2831564639
102	0.2826460917
103	0.2823542741
104	0.2820482795
105	0.2817620651
106	0.2813984809
107	0.281119002
108	0.2808351515
109	0.2803084576
110	0.2800729187
111	0.2796220789
112	0.2793266137
113	0.2789642881
114	0.2784660466
115	0.2780021688
116	0.2777199522
117	0.277383217
118	0.2771222875
119	0.2766863878
120	0.2762995533
121	0.2760417583
122	0.2754747156
123	0.2749884044
124	0.2746695415
125	0.2741040123
126	0.2735023009
127	0.2732145517
128	0.2728967694
129	0.2722359418
130	0.271609343
131	0.2713999735
132	0.2709928666
133	0.270763234
134	0.270520474
135	0.2702786794
136	0.2699079998
137	0.2696278639
138	0.2692996641
139	0.2688101632
140	0.2685589779
141	0.2682981497
142	0.2680108903
143	0.2677371436
144	0.2673122692
145	0.2670755562
146	0.2666823212
147	0.2665224354
148	0.2662235367
149	0.2657987048
150	0.265548525
151	0.2652518311
152	0.2650066784
153	0.2644669157
154	0.264201189
155	0.2639800847
156	0.2636476947
157	0.263212087
158	0.2629806959
159	0.26264677
160	0.2623079505
161	0.2620104087
162	0.2617212997
163	0.2613358836
164	0.2610681885
165	0.2607153242
166	0.2602198989
167	0.2599989389
168	0.2595958483
169	0.2593979705
170	0.2591135284
171	0.2588604159
172	0.2586428307
173	0.25840415
174	0.2582190667
175	0.2577232255
176	0.2574028772
177	0.2572574696
178	0.256886193
179	0.2566958572
180	0.2565492708
181	0.2561620397
182	0.2558562593
183	0.2556503404
184	0.255414392
185	0.2552925027
186	0.2549161044
187	0.2544071186
188	0.2541520844
189	0.2539546228
190	0.2536138069
191	0.2534549148
192	0.2531574797
193	0.2529954508
194	0.2527238991
195	0.2524844769
196	0.2522311069
197	0.2520383265
198	0.2517775705
199	0.2515477738
200	0.2512092821
201	0.2509433997
202	0.2507996984
203	0.2506424876
204	0.2503463485
205	0.2500638343
206	0.2497621665
207	0.2494729252
208	0.2490990527
209	0.2489846931
210	0.2487081364
211	0.2484789177
212	0.2483145892
213	0.2481808035
214	0.2480911801
215	0.2478671562
216	0.2477223089
217	0.247592924
218	0.2472806755
219	0.2471300857
220	0.2468899502
221	0.2466858242
222	0.246562445
223	0.2463875542
224	0.2462433527
225	0.2459862893
226	0.2458270859
227	0.245588043
228	0.245423007
229	0.2452098784
230	0.2449670851
231	0.2446097176
232	0.2443281568
233	0.2440550876
234	0.243460157
235	0.2433218257
236	0.2431854694
237	0.2428923288
238	0.2426730501
239	0.242485769
240	0.2422086864
241	0.2420228405
242	0.2418135511
243	0.2415336775
244	0.2413716728
245	0.2411655816
246	0.2409229569
247	0.2407268453
248	0.2402359312
249	0.2400761798
250	0.2399158575
251	0.2396922757
252	0.239596527
253	0.2394807224
254	0.2393321385
255	0.2390888777
256	0.2388078421
257	0.2385271831
258	0.2383877608
259	0.2382208525
260	0.2380597816
261	0.2379884438
262	0.2376334022
263	0.2375177812
264	0.2372797555
265	0.2371754314
266	0.2369692479
267	0.2366337682
268	0.2364379888
269	0.236279805
270	0.2361017024
271	0.2359560257
272	0.2358050695
273	0.2356067697
274	0.2353245969
275	0.2351041556
276	0.234943919
277	0.2347640356
278	0.2344898187
279	0.2342898802
280	0.2338107501
281	0.2336029103
282	0.2333295247
283	0.2331825299
284	0.2329592672
285	0.2327590572
286	0.2326548014
287	0.2325271087
288	0.2323948557
289	0.2321690758
290	0.2320286467
291	0.2318484237
292	0.2315849704
293	0.231440234
294	0.2312187796
295	0.2310854892
296	0.2308658398
297	0.230696227
298	0.2305474467
299	0.2301937578
300	0.2300839223
301	0.2298578727
302	0.2296448227
303	0.2295197857
304	0.2294013889
305	0.2291879903
306	0.2289948257
307	0.2287878193
308	0.2286188151
309	0.2283286626
310	0.2281621507
311	0.2280145539
312	0.2277624322
313	0.2275845557
314	0.2273744785
315	0.2272363586
316	0.2269806373
317	0.2268890677
318	0.2267216637
319	0.2265380218
320	0.2263233151
321	0.2260851961
322	0.2258880103
323	0.2257326607
324	0.2255491374
325	0.2254049764
326	0.2251908929
327	0.2249536842
328	0.2247060228
329	0.2245895936
330	0.2244760244
331	0.2243907723
332	0.224188477
333	0.2239944179
334	0.2236777276
335	0.2234099193
336	0.2232541667
337	0.2230671386
338	0.2228761519
339	0.2227491609
340	0.222511323
341	0.2221882347
342	0.2220023398
343	0.2218532857
344	0.2216684329
345	0.2215492864
346	0.2214489598
347	0.2212414533
348	0.2208778995
349	0.2206742747
350	0.2204919139
351	0.2201993567
352	0.2199870906
353	0.2196990792
354	0.219522636
355	0.2193705561
356	0.2192089867
357	0.2190288561
358	0.2186659952
359	0.218449466
360	0.2182817061
361	0.2180701642
362	0.2178998963
363	0.2177885335
364	0.2176412114
365	0.2175257485
366	0.217042841
367	0.2168606333
368	0.2165816898
369	0.2164685647
370	0.2163302119
371	0.2161282533
372	0.215970558
373	0.2158120371
374	0.2157164001
375	0.2153753666
376	0.2151604012
377	0.2149106723
378	0.2147721287
379	0.2145866636
380	0.2145226614
381	0.2143803718
382	0.2142266795
383	0.2139185423
384	0.2137718739
385	0.2134057045
386	0.213265993
387	0.2129947946
388	0.2128423049
389	0.2125652871
390	0.2124172671
391	0.2120751195
392	0.2119851616
393	0.2117624918
394	0.2116397058
395	0.2115196371
396	0.2113081667
397	0.2111096877
398	0.2109317374
399	0.2108392305
400	0.2106420622
401	0.2103240976
402	0.2101108595
403	0.2099755677
404	0.209818865
405	0.2095671268
406	0.2094692634
407	0.2092845811
408	0.2091577956
409	0.208921535
410	0.2087908858
411	0.2087144674
412	0.2084650716
413	0.2083344846
414	0.2082133162
415	0.2081139127
416	0.2077031603
417	0.2075579372
418	0.2073425557
419	0.2071773921
420	0.2070658824
421	0.2069673038
422	0.2067636185
423	0.2066259622
424	0.2062520171
425	0.2060623968
426	0.2059608948
427	0.2057623973
428	0.2056128647
429	0.2054258271
430	0.2052679847
431	0.2051439074
432	0.2050701787
433	0.20481197
434	0.2047235815
435	0.204581479
436	0.2044790807
437	0.2043447361
438	0.2042270782
439	0.2040691727
440	0.2039259984
441	0.2037334197
442	0.2036038567
443	0.203488832
444	0.2033877267
445	0.20329036
446	0.2031311537
447	0.202950249
448	0.2027823681
449	0.2025472725
450	0.2024790549
451	0.2023519179
452	0.2021455521
453	0.2020441454
454	0.2019165146
455	0.2017963577
456	0.2014736427
457	0.201360697
458	0.2011944159
459	0.2010816968
460	0.2009544524
461	0.2008604232
462	0.2007230246
463	0.2005787573
464	0.2004974501
465	0.2002011685
466	0.2000768556
467	0.1998954544
468	0.199698985
469	0.1996202179
470	0.1994638244
471	0.199316661
472	0.1991933193
473	0.1990850458
474	0.1989185249
475	0.198728506
476	0.1986511395
477	0.1984438402
478	0.1983630594
479	0.1981912439
480	0.1980561832
481	0.1979094155
482	0.1977715525
483	0.1976237018
484	0.1974719308
485	0.197345288
486	0.1972266608
487	0.1971349102
488	0.1970076488
489	0.1968220677
490	0.1967147318
491	0.1965850782
492	0.19643273
493	0.1961961311
494	0.1961063632
495	0.1959899936
496	0.1958381473
497	0.1957303981
498	0.1956280187
499	0.1954732328
500	0.1953683752
501	0.1952763743
502	0.195143791
503	0.1950645459
504	0.1949177889
505	0.1947841975
506	0.1946466861
507	0.1945347183
508	0.1943748273
509	0.1943039104
510	0.1941615197
511	0.1939502738
512	0.1937886585
513	0.193649752
514	0.1935858595
515	0.1934586783
516	0.1933709429
517	0.193300243
518	0.1932260478
519	0.1930735371
520	0.1929725252
521	0.1928836634
522	0.1927263601
523	0.1925821976
524	0.1925142802
525	0.1923626323
526	0.1921364176
527	0.1920040766
528	0.191925931
529	0.1918141946
530	0.1916970897
531	0.1915747818
532	0.1914103288
533	0.1913072721
534	0.1911811532
535	0.1911138435
536	0.1907772616
537	0.1906896158
538	0.1905028254
539	0.1904032409
540	0.1902356272
541	0.1899086773
542	0.1897750104
543	0.1895782786
544	0.1894049884
545	0.1893089446
546	0.1891313421
547	0.1889990335
548	0.1888927647
549	0.1888157059
550	0.1887099929
551	0.188585571
552	0.1884511038
553	0.1883092379
554	0.1882172322
555	0.1881459984
556	0.1880344155
557	0.1878947825
558	0.1877788546
559	0.1876568237
560	0.1874527585
561	0.1873147086
562	0.1870285692
563	0.1868887875
564	0.1868132246
565	0.1867097226
566	0.1865142366
567	0.1863086219
568	0.186227995
569	0.1860667405
570	0.1859932382
571	0.1858757252
572	0.1857225047
573	0.1856676758
574	0.1856171203
575	0.1853960992
576	0.1852255919
577	0.1851694494
578	0.1850635539
579	0.1849286423
580	0.1847708913
581	0.1846401781
582	0.184512721
583	0.1843597797
584	0.1842419435
585	0.1840875777
586	0.1840088836
587	0.1839184342
588	0.1837931677
589	0.1836941463
590	0.1835562159
591	0.1832945739
592	0.1832398511
593	0.1831502163
594	0.1830565229
595	0.1829211871
596	0.1828239468
597	0.182685599
598	0.1825656012
599	0.1824369557
600	0.1822448564
601	0.182202922
602	0.1820566406
603	0.1819179559
604	0.1817551811
605	0.1816799675
606	0.1815571375
607	0.1814436399
608	0.181391543
609	0.181313535
610	0.1811939796
611	0.181151994
612	0.1810573918
613	0.1809431302
614	0.1808357564
615	0.1807354607
616	0.1806149158
617	0.1804501504
618	0.1803935742
619	0.1803262222
620	0.1802348426
621	0.1801433447
622	0.180048819
623	0.1799608757
624	0.1798188818
625	0.1795721715
626	0.1795103355
627	0.1794620898
628	0.1794142104
629	0.1793092483
630	0.179232957
631	0.1791266775
632	0.179013376
633	0.1789513888
634	0.1788351568
635	0.1786209457
636	0.1784725889
637	0.1782415331
638	0.1781820843
639	0.1780650019
640	0.1778163676
641	0.1776859003
642	0.1775767379
643	0.1775170341
644	0.1774537195
645	0.1773620823
646	0.1773025129
647	0.1771668082
648	0.1771267763
649	0.1769861222
650	0.1768840991
651	0.1767745147
652	0.1767191868
653	0.176649649
654	0.1765026817
655	0.1763920675
656	0.1762782076
657	0.1761778575
658	0.1760778719
659	0.1760098407
660	0.1758679513
661	0.1758383085
662	0.1757191256
663	0.1756690498
664	0.175555698
665	0.1754234424
666	0.1753104936
667	0.1751800677
668	0.1750238405
669	0.1749746699
670	0.1748977795
671	0.1747702456
672	0.1747190611
673	0.1746513452
674	0.1745356324
675	0.1744184659
676	0.1743425593
677	0.1742394004
678	0.1740849852
679	0.1739750131
680	0.1739120384
681	0.1738030826
682	0.1737151054
683	0.1735960946
684	0.1734850619
685	0.1733217257
686	0.1732545465
687	0.1731701957
688	0.1729645483
689	0.1728786608
690	0.1727464822
691	0.1726687827
692	0.1725944426
693	0.1724137039
694	0.1723379049
695	0.1722770887
696	0.1721890731
697	0.1720762499
698	0.1719669521
699	0.1718242557
700	0.1717298538
701	0.1716291553
702	0.171562949
703	0.1714812209
704	0.1713825536
705	0.171292814
706	0.1711913404
707	0.1711116965
708	0.1709740052
709	0.1708067835
710	0.1707122174
711	0.1706195972
712	0.1705574911
713	0.1704677222
714	0.170389831
715	0.1703289485
716	0.1702320025
717	0.1701485261
718	0.1700509193
719	0.1699517356
720	0.1698299662
721	0.1697610443
722	0.1697136221
723	0.1696178248
724	0.1695743369
725	0.1695224111
726	0.169411074
727	0.169284753
728	0.1692423229
729	0.1691576544
730	0.1690703509
731	0.1689381119
732	0.1688090609
733	0.1687128318
734	0.1686576358
735	0.1685290736
736	0.1684238769
737	0.1683269982
738	0.1682750445
739	0.1682107141
740	0.1680784213
741	0.1679807644
742	0.1678870363
743	0.1678153579
744	0.1676999183
745	0.1676197133
746	0.1675178285
747	0.1674863365
748	0.1673999704
749	0.1673425897
750	0.1672439488
751	0.1671538386
752	0.1670958089
753	0.1669952834
754	0.1668744721
755	0.1667610361
756	0.1667012041
757	0.166603928
758	0.1665161169
759	0.1664112193
760	0.1663195047
761	0.1662185142
762	0.166171811
763	0.1660582162
764	0.165979395
765	0.1659239599
766	0.1658808125
767	0.1658002132
768	0.1657603005
769	0.1656463788
770	0.1656013003
771	0.1655510613
772	0.1654334849
773	0.1653225334
774	0.1652726799
775	0.165215512
776	0.1651523999
777	0.1650577544
778	0.1649696625
779	0.1648724511
780	0.1647789106
781	0.1646549015
782	0.1645004507
783	0.1643887971
784	0.1643057786
785	0.1642312646
786	0.1641593879
787	0.1640463185
788	0.1640167114
789	0.163877246
790	0.163785747
791	0.1637167024
792	0.1636675686
793	0.1635734388
794	0.1634828588
795	0.1634394306
796	0.1633485256
797	0.1632963782
798	0.163236854
799	0.1631259091
800	0.1629967479
801	0.1629408537
802	0.1628486683
803	0.1627721781
804	0.1626675414
805	0.162610719
806	0.1625164809
807	0.1624106797
808	0.1623494352
809	0.1622875741
810	0.1622192252
811	0.1621077236
812	0.1620354808
813	0.1619689186
814	0.1618655708
815	0.1617964495
816	0.1617106528
817	0.1616013725
818	0.1614877327
819	0.1614233057
820	0.1613338039
821	0.1612454664
822	0.1611495152
823	0.161054505
824	0.1609816909
825	0.1608889175
826	0.1607934779
827	0.1607435886
828	0.1606795073
829	0.1606023861
830	0.1605386323
831	0.1604545677
832	0.1603872182
833	0.1602825185
834	0.1602322462
835	0.1601356407
836	0.160041995
837	0.1599727854
838	0.1599225439
839	0.1598435251
840	0.1597467717
841	0.1596563848
842	0.1595566907
843	0.1594591101
844	0.1593388974
845	0.1592677762
846	0.1592246666
847	0.1591648214
848	0.1590777735
849	0.1590042271
850	0.1589125734
851	0.1588127207
852	0.1587255709
853	0.1586496972
854	0.1585904325
855	0.1584826268
856	0.1583924828
857	0.1583007061
858	0.1581659706
859	0.158093358
860	0.1580031347
861	0.1579313273
862	0.1578451915
863	0.1577826545
864	0.1577033914
865	0.1575986377
866	0.157534237
867	0.1574685642
868	0.157360426
869	0.1572640674
870	0.1571353154
871	0.1570848215
872	0.1570358054
873	0.1569380346
874	0.156833881
875	0.1567517653
876	0.1566757169
877	0.1566082433
878	0.156533717
879	0.1562924207
880	0.156242896
881	0.1561757853
882	0.1561128294
883	0.1560126804
884	0.1559441985
885	0.1558397921
886	0.1557951178
